 |ID|CJ|CI|RWLA|RWAR|RWB|RWCM|RWCN|RWDO|RWDT|RWEL|RWEND|RWFOR|RWFR|RWGT|RWIF|RWINT|RWIR|RWLB|RWLN|RWOF|RWOP|RWLO|RWPR|RWRAT|RWRD|RWSM|RWTH|RWTO|RWTP|RWV|RWWR|RWCX|RWFUN|RWIM|RWRE|RWINTOP|RWPRC|RWDN|RWN|OPPLUS|OPMINUS|OPMUL|OPDIV|OPGT|OPLT|OPGE|OPLE|OPEQ|OPNE|OPAS|SRLP|SRRP|SRLB|SRRB|SRSM|SRCN|SRSP|SRCA|SRLCB|SRRCB|TEXT||ERROR|ENDOFFILE|ENDOFFILE
AssignmentOperator|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
BinaryAdditiveOperator||||||||||||||||||||||||||||||||||||||||||[OPPLUS]|[OPMINUS]||||||||||||||||||||||||
BinaryMulOperator||||||||||||||||||||||||||||||||||||||||||||[OPMUL]|[OPDIV]||||||||||||||||||||||
BinaryOperatorOverload|||||[OverloadBinaryOperation, SRLP, ID, BinaryOperatorOverload1]|||[OverloadBinaryOperation, SRLP, ID, BinaryOperatorOverload1]||||||||||||||||[OverloadBinaryOperation, SRLP, ID, BinaryOperatorOverload1]||||||||||||||||||[OverloadBinaryOperation, SRLP, ID, BinaryOperatorOverload1]|[OverloadBinaryOperation, SRLP, ID, BinaryOperatorOverload1]|[OverloadBinaryOperation, SRLP, ID, BinaryOperatorOverload1]|[OverloadBinaryOperation, SRLP, ID, BinaryOperatorOverload1]|||||||[OverloadBinaryOperation, SRLP, ID, BinaryOperatorOverload1]|||||||||||||||
BinaryOperatorOverload1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||[SRCN, Type, SRSM, ID, SRCN, Type, SRRP]||[SRCA, ID, SRCN, Type, SRRP]|||||||
BinaryRelationOperator||||||||||||||||||||||||||||||||||||||||||||||[OPGT]|[OPLT]|[OPGE]|[OPLE]|[OPEQ]|[OPNE]||||||||||||||||
CompoundStatement|||||||[RWB, Statement, CompoundStatement1]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
CompoundStatement1|||||||||||||[RWEND]||||||||||||||||||||||||||||||||||||||||||||[SRSM, CompoundStatement2]||||||||||
CompoundStatement2||[Statement2, CompoundStatement1]|||||[Statement2, CompoundStatement1]||||||[RWEND]|[Statement2, CompoundStatement1]||[Statement2, CompoundStatement1]|[Statement2, CompoundStatement1]||||||||||[Statement2, CompoundStatement1]||||||[Statement2, CompoundStatement1]||||||||||||||||||||||||[SRSM, CompoundStatement2]||||||||||
ConcreteType||||||||||||||||||[RWINT]||||||||[RWRAT]||||||||[RWCX]|||||||||||||||||||||||||||||||||
ConditionalOperator|||||||||||||||||[RWIF, Expression, RWTH, , Statement2, ConditionalOperator1]||||||||||||||||||||||||||||||||||||||||||||||||||
ConditionalOperator1||||||||||||[RWEL, , Statement2]|[EPSILON]||||||||||||||||||||||||||||||||||||||||||||[EPSILON]||||||||||
ConstDefinition||[ID, OPEQ, Expression]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ConstExpr||[ConstExpr1]||[ConstExpr1]||||||||||||||||||||||||||||||||||||||[UnaryAdditiveOperator, ConstExpr1]|[UnaryAdditiveOperator, ConstExpr1]||||||||||||||||||[ConstExpr1]||||||
ConstExpr1||[ID]||[CI, ConstExpr3]|||||||||||||||||||||||||||||||||||||||||||||||||||||||||[SRLCB, Expression, SRCA, Expression, SRRCB]||||||
ConstExpr2|||[CJ]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ConstExpr3|||[CJ]|[CI, RatianalType2, CJ]|||||||||||||||||||||||||||||||||||||||||||||||||||||||[SRSP, CI, ConstExpr2]||||||||
ConstSection|||||||||[RWCN, ConstDefinition, SRSM, ConstSection1]||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
ConstSection1||[ConstDefinition, SRSM, ConstSection1]|||[EPSILON]||[EPSILON]|[EPSILON]|[EPSILON]||||||[EPSILON]||||[EPSILON]|[EPSILON]|[EPSILON]||[EPSILON]|[EPSILON]||||[EPSILON]|||[EPSILON]|[EPSILON]|||[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|||[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|||||||[EPSILON]|||||||||||||||
DescriptionSection|||||||[EPSILON]||[DescriptionSection1, DescriptionSection]|||||||||||[DescriptionSection1, DescriptionSection]|||[DescriptionSection1, DescriptionSection]||||||||[DescriptionSection1, DescriptionSection]|[DescriptionSection1, DescriptionSection]|||[EPSILON]||||[EPSILON]||||||||||||||||||||||||||||
DescriptionSection1|||||||||[ConstSection]|||||||||||[LabelSection]|||[OperatorOverloadSection]||||||||[TypeSection]|[VarSection]|||||||||||||||||||||||||||||||||||
EnumType|||||||||||||||||||||||||||||||||||||||||||||||||||||[SRLP, IdList, SRRP]||||||||||||||
ExprList||[Expression, ExprList1]||[Expression, ExprList1]|||||||||||[Expression, ExprList1]||||[Expression, ExprList1]||[Expression, ExprList1]|||||||[Expression, ExprList1]||||||||[Expression, ExprList1]|[Expression, ExprList1]|[Expression, ExprList1]||||[Expression, ExprList1]|[Expression, ExprList1]||||||||||[Expression, ExprList1]||||||||[Expression, ExprList1]||||||
ExprList1||||||||||||||||||||||||||||||||||||||||||||||||||||||[EPSILON]||||||[SRCA, Expression, ExprList1]|||||||
Expression||[LogicOr]||[LogicOr]|||||||||||[LogicOr]||||[LogicOr]||[LogicOr]|||||||[LogicOr]||||||||[LogicOr]|[LogicOr]|[LogicOr]||||[LogicOr]|[LogicOr]||||||||||[LogicOr]||||||||[LogicOr]||||||
Expression1||[Summand, Expression2]||[Summand, Expression2]|||||||||||[Summand, Expression2]||||[Summand, Expression2]||[Summand, Expression2]|||||||[Summand, Expression2]||||||||[Summand, Expression2]|[Summand, Expression2]|[Summand, Expression2]||||[Summand, Expression2]|[Summand, Expression2]||||||||||[Summand, Expression2]||||||||[Summand, Expression2]||||||
Expression2|||||[EPSILON]|||||[EPSILON]|[EPSILON]||[EPSILON]|||||||||||[EPSILON]|||||[EPSILON]|[EPSILON]||||||||||||[BinaryAdditiveOperator, Summand, Expression2]|[BinaryAdditiveOperator, Summand, Expression2]|||[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|[EPSILON]|||[EPSILON]||[EPSILON]|||||
Factor||[Var1]||[Var1]|||||||||||[UnaryOperator, Var1]||||[UnaryOperator, Var1]||[UnaryOperator, Var1]|||||||[UnaryOperator, Var1]||||||||[UnaryOperator, Var1]|[UnaryOperator, Var1]|[UnaryOperator, Var1]||||[UnaryOperator, Var1]|[UnaryOperator, Var1]||||||||||[SRLP, LogicOr, SRRP]||||||||[Var1]||||||
